bloco;layout;col_b_raw;brand;category;descricao;rg;codigo_fabrica;status;tabela_bruta;multipl_desconto;custo;VENDA_DIRETA_MS;MS_DDOS;MS_DDOS_PRAZO;MS_ANDREI;SP_SP;SP_OUTROS;SP_RJ_MG_SUL;SP_MONTAGEM;OUTROS_ES;MG_RJ_SUL;DOURADOS_MS;flags
A_OUTRAS_MARCAS;A;PICCIN;PICCIN;;CALCAREADEIRA MASTER 7.500 PNEUS 11L15 E EST 40 MM PRECISA;53643;NT;;;;;;;;;;;;38900;39900;40900;;SEM_CUSTO_TABELA|PRECO_MANUAL|BLOCO_MANUAL
A_OUTRAS_MARCAS;A;ALMEIDA;ALMEIDA;;"GUINCHO BAG 2.000 BITOLA REGULÁVEL PN 11L15"" (SAIU DE LINHA)";53710;1384947;;;;14100;;;;;;;;19900;20900;21900;;PRECO_MANUAL|BLOCO_MANUAL
A_OUTRAS_MARCAS;A;ALMEIDA;ALMEIDA;;ROÇADEIRA 3 PONTO ROAL 1400 TRASM DIRETA;53924;NT;;;;6750;;;;;;;;10500;11400;11800;;PRECO_MANUAL|BLOCO_MANUAL
A_OUTRAS_MARCAS;A;ALMEIDA;ALMEIDA;;ROÇADEIRA 3 PONTO ROAL 1600 TRASM DIRETA;53758;NT;;;;7500;;;;;;;;10900;11500;11900;;PRECO_MANUAL|BLOCO_MANUAL
A_OUTRAS_MARCAS;A;ALMEIDA;ALMEIDA;;ROÇADEIRA 3 PONTO ROAL 1800 TRASM DIRETA;53836;NT;;;;8175;;;;;;;;11900;12400;12900;;PRECO_MANUAL|BLOCO_MANUAL
A_OUTRAS_MARCAS;A;ALMEIDA;ALMEIDA;;ROÇADEIRA 3 PONTO ROCAL 1600 TRASM CORREIAS;53901;NT;;;;9450;;;;;;;;13500;13900;14500;;PRECO_MANUAL|BLOCO_MANUAL
A_OUTRAS_MARCAS;A;ALMEIDA;ALMEIDA;;ROÇADEIRA 3 PONTO ROCAL 1800 TRANSM CORREIAS;53851;NT;;;;10012;;;;;;;;14300;14900;15600;;PRECO_MANUAL|BLOCO_MANUAL
A_OUTRAS_MARCAS;A;ALMEIDA;ALMEIDA;;ROÇADEIRA ARRASTO ROACAL 1800 COM RODAS FERRO GRANDES;53858;NT;;;;13050;;;;;;;;18900;19900;20900;;PRECO_MANUAL|BLOCO_MANUAL
A_OUTRAS_MARCAS;A;ALMEIDA;ALMEIDA;;ROÇADEIRA ARRASTO ROACAL DUPLA 3400 RODAS FERRO GRANDES;53950;NT;;;;21225;;;;;;;;29900;30900;31900;;PRECO_MANUAL|BLOCO_MANUAL
A_OUTRAS_MARCAS;A;ALMEIDA;ALMEIDA;;"CALC TECLANCER 3.0 EST 500 2 PN 750X16""";54045;1397662;;;;16400;;;;;;;;22900;23900;24900;;PRECO_MANUAL|BLOCO_MANUAL
